iter,ga,eda,tabu
1,106.6,107.2,117.05
2,106.6,101.79,101.5
3,106.6,100.6,1108.32
4,106.6,101.5,1109.61
5,106.6,100.6,110.32
6,100.71,100,211.21
7,100.71,100,104.9
8,100,100.29,220.07
9,100,100,212.84
10,100,100,204.65
11,100,100,111.72
12,100,100,1114.54
13,100,100,212.17
14,100,100,205.19
15,100,100,120.27
16,100,100,208.87
17,100,100,107.2
18,100,100,217.27
19,100,100,110.38
20,100,100,117.49
21,100,100,213.8
22,100,100,103
23,100,100,212.65
24,100,100,103
25,100,100,212.8
26,100,100,226.8
27,100,100,114.48
28,100,100,216.27
29,100,100,126.34
30,100,100,1107.71
31,100,100,225.64
32,100,100,1105.15
33,100,100,1108.06
34,100,100,202.4
35,100,100,116.27
36,100,100,113.56
37,100,100,1112.49
38,100,100,1107.15
39,100,100,227.03
40,100,100,215.54
41,100,100,107.46
42,100,100,234.73
43,100,100,1109.8
44,100,100,1106.12
45,100,100,110.54
46,100,100,116.17
47,100,100,127.19
48,100,100,101.92
49,100,100,227.56
50,100,100,117.15
51,100,100,109.55
52,100,100,110.97
53,100,100,211.89
54,100,100,120.12
55,100,100,219.64
56,100,100,114.28
57,100,100,226.42
58,100,100,215.98
59,100,100,106.82
60,100,100,207.2
61,100,100,100.42
62,100,100,113.38
63,100,100,111.41
64,100,100,117.45
65,100,100,109.73
66,100,100,208.41
67,100,100,108.24
68,100,100,1201.79
69,100,100,108.87
70,100,100,112.84
71,100,100,214.65
72,100,100,209.06
73,100,100,207.86
74,100,100,110.69
75,100,100,125.09
76,100,100,106.98
77,100,100,211.34
78,100,100,123.26
79,100,100,205.68
80,100,100,200.29
81,100,100,118.9
82,100,100,107.77
83,100,100,1115.19
84,100,100,106.89
85,100,100,107.46
86,100,100,212.29
87,100,100,121.17
88,100,100,227.39
89,100,100,214.08
90,100,100,105.48
91,100,100,208.67
92,100,100,217.7
93,100,100,112.94
94,100,100,212.77
95,100,100,224.43
96,100,100,233.84
97,100,100,216.27
98,100,100,221.3
99,100,100,111.64
100,100,100,118.43
