iter,ga,eda,tabu
1,1024.82,1016.26,1019.56
2,1024.82,1012.56,1034.87
3,1024.82,1000,1027.59
4,1024.82,1006.12,1027
5,1019.12,1000.68,3020.94
6,1012.78,1001.92,1014.19
7,1012.78,1002.6,1039.25
8,1011.78,1001.62,2045.88
9,1011.78,1000,1035.64
10,1011.78,1000.94,1040.69
11,1011.78,1000,1045.54
12,1011.78,1000.68,2022.61
13,1011.78,1000.68,1033.64
14,1011.78,1000.68,2020.83
15,1011.78,1000,1027.39
16,1011.78,1000,1022.38
17,1011.78,1000,1011.61
18,1011.78,1000,1028.13
19,1011.78,1000,1032.11
20,1011.78,1000,1025.42
21,1011.78,1000,2009.18
22,1011.78,1000,1036.32
23,1011.78,1000,1037.84
24,1011.78,1000,1037.35
25,1011.78,1000,1034.61
26,1011.78,1000,1032.13
27,1011.78,1000,1032.43
28,1011.78,1000,1017.24
29,1011.78,1000,1026.73
30,1011.78,1000,3018.56
31,1011.78,1000,1025.85
32,1007.7,1000,1021.58
33,1007.7,1000,2016.13
34,1007.7,1000,1029.67
35,1007.7,1000,2032.36
36,1007.7,1000,1016.49
37,1007.7,1000,1028.43
38,1007.7,1000,1025.17
39,1007.7,1000,1047
40,1007.7,1000,2040.17
41,1007.7,1000,1059.29
42,1007.7,1000,1027.86
43,1007.7,1000,1032.53
44,1007.7,1000,1042.55
45,1007.7,1000,1027.6
46,1007.7,1000,1028.06
47,1007.7,1000,1010.22
48,1007.7,1000,1033.23
49,1007.7,1000,2010.16
50,1007.7,1000,1030.09
51,1007.7,1000,1007.31
52,1007.7,1000,3013.42
53,1007.7,1000,2027.4
54,1007.7,1000,2027.06
55,1007.7,1000,3030.91
56,1007.7,1000,1037.3
57,1007.7,1000,1029.04
58,1007.7,1000,1036.91
59,1007.7,1000,2024.85
60,1007.7,1000,1032.59
61,1007.7,1000,1019.54
62,1007.7,1000,1031.61
63,1007.7,1000,1029.46
64,1007.7,1000,1020.64
65,1007.7,1000,1032.58
66,1007.7,1000,1029.63
67,1007.7,1000,1031.52
68,1007.7,1000,1019.29
69,1007.7,1000,1022.61
70,1000,1000,1026.91
71,1000,1000,1029.53
72,1000,1000,1029.58
73,1000,1000,1020.34
74,1000,1000,1035.89
75,1000,1000,1017.18
76,1000,1000,1025.56
77,1000,1000,1046.88
78,1000,1000,1042.09
79,1000,1000,1029.91
80,1000,1000,1017.78
81,1000,1000,1037.69
82,1000,1000,1028.93
83,1000,1000,1020.63
84,1000,1000,2037.3
85,1000,1000,2057.75
86,1000,1000,1035.37
87,1000,1000,1027.3
88,1000,1000,1034.99
89,1000,1000,1037.33
90,1000,1000,1023.44
91,1000,1000,1029.8
92,1000,1000,1052.39
93,1000,1000,1027.55
94,1000,1000,2029.41
95,1000,1000,2025.8
96,1000,1000,1021.92
97,1000,1000,1027.16
98,1000,1000,1025.29
99,1000,1000,1033.4
100,1000,1000,1035.44
