iter,ga,eda,tabu
1,1014.76,1007.36,1014.46
2,1014.76,3.06,1016.86
3,1011.03,6.77,1016.33
4,1011.03,0,14.59
5,15.38,0,1008.77
6,15.38,0,7.39
7,9.39,0,1011.28
8,4.71,0,15.1
9,4.71,0,1011.81
10,4.71,0,1022.48
11,4.71,0,21.42
12,4.71,0,2006.93
13,0,0,16.14
14,0,0,1011.69
15,0,0,18.97
16,0,0,2009.17
17,0,0,2013.34
18,0,0,12.91
19,0,0,2013.84
20,0,0,13.84
21,0,0,1011.47
22,0,0,16.5
23,0,0,2021.08
24,0,0,2011.58
25,0,0,8.79
26,0,0,3.06
27,0,0,1011.65
28,0,0,1008.42
29,0,0,1015.96
30,0,0,2011.84
31,0,0,1014.09
32,0,0,1016.36
33,0,0,1020.06
34,0,0,1026.13
35,0,0,1011.62
36,0,0,1021.08
37,0,0,20.8
38,0,0,24.16
39,0,0,10.38
40,0,0,1012.41
41,0,0,1018.27
42,0,0,2006.31
43,0,0,13.84
44,0,0,2003.68
45,0,0,2012.23
46,0,0,1021.08
47,0,0,1012.68
48,0,0,1025.59
49,0,0,1025.27
50,0,0,1020.8
51,0,0,1008.34
52,0,0,12.8
53,0,0,1017.12
54,0,0,1019.65
55,0,0,12.41
56,0,0,7.36
57,0,0,1021.42
58,0,0,17.61
59,0,0,14.32
60,0,0,1011.65
61,0,0,13.7
62,0,0,13.92
63,0,0,1017.12
64,0,0,13.69
65,0,0,1006.32
66,0,0,1023.64
67,0,0,9.66
68,0,0,1010.63
69,0,0,1029.46
70,0,0,1017.4
71,0,0,2004.9
72,0,0,1015.62
73,0,0,17.99
74,0,0,2019.97
75,0,0,1015.54
76,0,0,2.3
77,0,0,2003.66
78,0,0,1012.65
79,0,0,1023.57
80,0,0,1007.32
81,0,0,1011.47
82,0,0,1015.08
83,0,0,11.85
84,0,0,1012.9
85,0,0,1013.42
86,0,0,1020.34
87,0,0,11.84
88,0,0,1009.39
89,0,0,1014.29
90,0,0,1005.33
91,0,0,1019.61
92,0,0,1010.96
93,0,0,1014.11
94,0,0,15.71
95,0,0,14.32
96,0,0,2015.37
97,0,0,1021.64
98,0,0,2008.56
99,0,0,1020.22
100,0,0,14.92
