iter,ga,eda,tabu
1,2.31,4.51,3.72
2,1.98,2.34,15.23
3,1.39,1.28,1.98
4,1.39,0.33,5.46
5,1.06,0.33,14.86
6,1.06,0,6.76
7,1.06,0.33,100
8,1.06,0.33,2.34
9,1.06,0.33,12.09
10,1.06,0.33,101.88
11,1.06,0.33,13.48
12,1.06,0.33,7.44
13,1.06,0.33,10.79
14,1.06,0.33,20.37
15,1.06,0.33,9.2
16,1.06,0.33,102.91
17,1.06,0.33,101.71
18,1.06,0.33,9.76
19,1.06,0.33,10.36
20,0.33,0.33,104.17
21,0.33,0.33,101.98
22,0.33,0.33,5.46
23,0.33,0.33,109.78
24,0.33,0.33,11.41
25,0.33,0.33,105.23
26,0.33,0.33,12.69
27,0.33,0.33,7.82
28,0.33,0.33,6.54
29,0.33,0.33,6.54
30,0.33,0.33,105.57
31,0.33,0.33,103.72
32,0.33,0.33,105.27
33,0.33,0.33,105.88
34,0.33,0.33,106.33
35,0.33,0.33,9.53
36,0.33,0.33,105.7
37,0.33,0.33,105.27
38,0.33,0.33,100.6
39,0.33,0.33,9.2
40,0.33,0.33,1.98
41,0.33,0.33,11.11
42,0.33,0.33,6.18
43,0.33,0.33,7.44
44,0.33,0.33,11.66
45,0.33,0.33,105.45
46,0.33,0.33,13.48
47,0.33,0.33,105.05
48,0.33,0.33,9.76
49,0.33,0.33,7.46
50,0.33,0.33,11.14
51,0.33,0.33,10.79
52,0.33,0.33,12.2
53,0.33,0.33,110.75
54,0.33,0.33,6.95
55,0.33,0.33,13.12
56,0.33,0.33,103.72
57,0.33,0.33,100.33
58,0.33,0.33,5.81
59,0.33,0.33,110.59
60,0.33,0.33,23.54
61,0.33,0.33,103.99
62,0.33,0.33,17.89
63,0.33,0.33,7.79
64,0.33,0.33,5.23
65,0.33,0.33,12.6
66,0.33,0.33,101.71
67,0.33,0.33,101.39
68,0.33,0.33,16.53
69,0.33,0.33,16.01
70,0.33,0.33,12.69
71,0.33,0.33,4.9
72,0.33,0.33,1.06
73,0.33,0.33,6.16
74,0.33,0.33,102.58
75,0.33,0.33,11.54
76,0.33,0.33,9.18
77,0.33,0.33,105.05
78,0.33,0.33,5.46
79,0.33,0.33,6.52
80,0.33,0.33,100
81,0.33,0.33,12.69
82,0.33,0.33,14.43
83,0.33,0.33,104.05
84,0.33,0.33,7.87
85,0.33,0.33,108.89
86,0.33,0.33,101.98
87,0.33,0.33,11.74
88,0.33,0.33,14.43
89,0.33,0.33,2.34
90,0.33,0.33,105.46
91,0.33,0.33,104.9
92,0.33,0.33,6.52
93,0.33,0.33,1.98
94,0.33,0.33,10.71
95,0.33,0.33,14.33
96,0.33,0.33,6.61
97,0.33,0.33,8.25
98,0.33,0.33,10.71
99,0.33,0.33,106.3
100,0.33,0.33,103.99
