iter,ga,eda,tabu
1,233,233,242
2,233,232,243
3,233,222,242
4,233,222,253
5,233,222,233
6,223,222,233
7,223,222,252
8,223,222,273
9,223,222,243
10,223,222,233
11,222,222,253
12,222,222,252
13,222,222,233
14,222,222,242
15,222,222,242
16,222,222,233
17,222,222,253
18,222,222,262
19,222,222,252
20,222,222,252
21,222,222,262
22,222,222,242
23,222,222,263
24,222,222,263
25,222,222,283
26,222,222,352
27,222,222,232
28,222,222,263
29,222,222,243
30,222,222,262
31,222,222,262
32,222,222,242
33,222,222,252
34,222,222,243
35,222,222,243
36,222,222,273
37,222,222,233
38,222,222,243
39,222,222,262
40,222,222,262
41,222,222,242
42,222,222,223
43,222,222,233
44,222,222,252
45,222,222,243
46,222,222,242
47,222,222,232
48,222,222,252
49,222,222,263
50,222,222,223
51,222,222,222
52,222,222,242
53,222,222,223
54,222,222,252
55,222,222,242
56,222,222,233
57,222,222,252
58,222,222,222
59,222,222,262
60,222,222,273
61,222,222,233
62,222,222,232
63,222,222,342
64,222,222,262
65,222,222,233
66,222,222,223
67,222,222,252
68,222,222,222
69,222,222,253
70,222,222,233
71,222,222,233
72,222,222,262
73,222,222,282
74,222,222,263
75,222,222,262
76,222,222,252
77,222,222,253
78,222,222,272
79,222,222,252
80,222,222,283
81,222,222,253
82,222,222,242
83,222,222,223
84,222,222,242
85,222,222,242
86,222,222,242
87,222,222,233
88,222,222,373
89,222,222,233
90,222,222,262
91,222,222,273
92,222,222,253
93,222,222,222
94,222,222,262
95,222,222,242
96,222,222,242
97,222,222,223
98,222,222,232
99,222,222,242
100,222,222,253
